
При нажатии кнопки "Пуск дизеля" маслопрокачивающий насос не работает	
1	Включить автомат "Управление".
0	Установить реверсивную рукоятку в рабочее положение.
0	Установить контроллер в нулевое положение.
0	Заменить перегоревший предохранитель ПР3 125 А
2	Заменить перегоревший предохранитель.
3	Напряжение на шине проверить нажатием на песочницу.
0	Проверить положение КМ, поставить на "0" позицию.
4	Заменить перегоревший предохранитель.
5	Убедиться в отключении валоповоротного механизма.
6	Прокачать масло тумблером "Прокачка масла".
Вал дизеля проворачивается, но вспышки в цилиндрах нет	0
7	Привести регулятор в рабочее положение.
0	Отключить вышедший из строя топливный насос.
8	Проверить давление масла по мономеру и уровень масла в картере дизеля.
9	Проверить подачу воздуха к ВП7 и исправность вентиля.
10	Привести предельный регулятор в рабочее положение.
11	Проверить уровень масла в дизеле.
12	Заменить перегоревшую вставку предохранителя.
0	Заменить перегоревшую вставку предохранителя.
Питание дизеля топливом при отказе топливного насоса	0
Для аварийного питания дизеля топливом при выходе из строя ТН необходимо выключить автомат топливного насоса на ВВК. Автомат управления этим насосом на пульте должен быть включен. Открыть вентиль на резервуаре установленном в тамбуре кабины секции на которой отказал ТН. Продолжительность работы под нагрузкой на позициях с 1-ой по 5-ую составляет 30 - 35 минут. Для уменьшения мощности ГГ разрешается отключить один ТЭД.	0
При установке штурвала контролера на первую позицию тепловоз с места не трогается	0
13	Включить автомат А17 "Подвозбудитель"
0	Перейти на аварийное возбуждение.
0	Перейти на аварийное возбуждение.
0	Перейти на аварийное возбуждение.
14	Следовать в режиме тяги до 11 - ой позиции контролера.
0	Следовать в режиме тяги до 11-ой позиции контролера.
15	Проверьте работу вентилятора и жалюзи на ручном управлении холодильника. Охладите воду или масло.
16	Осмотрите всю силовую цепь. Если повреждение не обнаружено, снимите реле с защелки путём переключения автомата "Возбуждение" и попытайтесь продолжить движение. Возможно, реле снова срабатывает, а место повреждения все же не обнаружено. Тогда вновь установите реле в нормальное положение и попытайтесь поочередно отключать ОМ1-ОМ6. Когда и это не дает эффекта, рубильником отключите реле заземления и продолжайте движение до основного или оборотного депо, соблюдая повышенное внимание силовой цепи ТЭД, ГГ.
17	Следовать на одной секции.
0	Неисправный топливный насос отключить.
18	Проверить работу вентилятора, открытия жалюзи. Добейтесь снижения температуры масла.
0	Проверить уровень масла в картере дизеля, при повышения уровня, остановить дизель и следовать до депо.
0	Проверьте плотность соединения трубопроводов масляной системы.
0	Проверьте уровень масла в картере дизеля, при необходимости добавить.
19	Немедленно снимите нагрузку и после снижения температуры воды остановите дизель. Найдите место утечки, устранить по возможности. Дальнейшая эксплуатация допустима после устранения неисправности или заправки системы до необходимого уровня.
20	Немедленно остановите дизель.
21	Немедленно остановите дизель. До устранения стуков запуск дизеля не допускается.
22	Проверить уровень масла в регуляторе.
23	Перейти на ручное управление.
24	Перейти на ручное управление.
